[2022-11-02 16:16:13] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:16:13] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:16:13] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:16:13] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:16:13] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:16:13] |               (null)-L1130: [Init] end success.
[2022-11-02 16:16:13] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:16:13] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:16:13] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:16:13] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:16:13] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:16:13] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:16:13] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:16:13] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:16:13] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:16:13] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:16:13] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:16:14] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:16:14] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:16:14] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:16:14] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:16:14] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:16:14] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-11-02 16:16:14] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:16:14] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:16:14] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:16:14] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:16:14] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:16:14] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:16:14] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:16:14] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:16:14] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:16:14] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:16:14] |               (null)-L1560: [Start] begin.
[2022-11-02 16:16:14] |               (null)-L1588: [Start] StartGrabbing success.
[2022-11-02 16:16:14] |               (null)-L1594: [Start] end success.
[2022-11-02 16:16:20] |               (null)-L1155: VirtualAllEventCallBack nMsgType = 00008001!
[2022-11-02 16:16:20] |               (null)-L1139: Recv Exception ID (1) ExceptionDes (设备掉线).
[2022-11-02 16:19:36] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:19:36] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:19:36] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:19:36] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:19:36] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:19:36] |               (null)-L1130: [Init] end success.
[2022-11-02 16:19:36] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:19:36] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:19:36] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:19:36] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:19:36] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:19:36] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:19:36] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:19:36] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:19:36] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:19:36] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:19:36] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:19:37] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:19:37] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:19:37] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:19:37] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:19:37] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:19:37] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
